text,font_size,size_vs_body,is_bold,y_pos,line_length,word_count,is_all_caps,starts_with_number,ends_with_colon,page_num,doc_name,label
"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/361438737",6,-4,0,72,119,11,0,0,0,0,8N-ICEEMGenderrecognitionv4.pdf,
Faces Recognition and Facial Gender Classiﬁcation using Convolutional,13,3,0,91,69,8,0,0,0,0,8N-ICEEMGenderrecognitionv4.pdf,
Neural Network,13,3,0,109,14,2,0,0,0,0,8N-ICEEMGenderrecognitionv4.pdf,
Article  in  Menoufia Journal of Electronic Engineering Research · June 2022,7,-3,1,145,76,11,0,0,0,0,8N-ICEEMGenderrecognitionv4.pdf,
DOI: 10.21608/mjeer.2022.137937.1056,5,-5,0,157,36,2,0,0,0,0,8N-ICEEMGenderrecognitionv4.pdf,
CITATIONS READS,5,-5,0,188,15,2,1,0,0,0,8N-ICEEMGenderrecognitionv4.pdf,
0 576,8,-2,0,197,5,2,0,1,0,0,8N-ICEEMGenderrecognitionv4.pdf,
1 author:,7,-3,1,223,9,2,0,1,1,0,8N-ICEEMGenderrecognitionv4.pdf,
Mohamed Berbar,7,-3,0,241,14,2,0,0,0,0,8N-ICEEMGenderrecognitionv4.pdf,
Menoufia University,7,-3,0,251,19,2,0,0,0,0,8N-ICEEMGenderrecognitionv4.pdf,
36 550,6,-4,1,264,6,2,0,1,0,0,8N-ICEEMGenderrecognitionv4.pdf,
PUBLICATIONS CITATIONS,5,-5,0,265,22,2,1,0,0,0,8N-ICEEMGenderrecognitionv4.pdf,
SEE PROFILE,5,-5,0,281,11,2,1,0,0,0,8N-ICEEMGenderrecognitionv4.pdf,
All content following this page was uploaded by Mohamed Berbar on 30 June 2022.,7,-3,0,803,79,14,0,0,0,0,8N-ICEEMGenderrecognitionv4.pdf,
The user has requested enhancement of the downloaded file.,5,-5,0,819,58,9,0,0,0,0,8N-ICEEMGenderrecognitionv4.pdf,
"Menoufia J. of Electronic Engineering Research (MJEER), Vol. 31, No. 2, July,2020",10,0,0,36,81,12,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
